job_id,job_title,company_name,industry,job_location,employment_type,experience_required_years,salary_min,salary_max,skills_required,education_required,posted_date,scrape_date,job_source
11,Information Security Engineer,Paytm,Financial Services,Sydney,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,12-01-2020,12-02-2020,Freelancer
12,Data Scientist,Zomato,Telecom,Kochi,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,13-01-2020,13-02-2020,TimesJobs
13,Telemarketing Executive,Zensar Technologies,Retail,Sydney,Freelance,12,30000,120000,"Negotiation, CRM, Communication, Lead Generation, Presentation",Bachelor's in Business / Marketing / Management,14-01-2020,14-02-2020,Indeed
14,Data Analyst,Capgemini,Digital Marketing,Singapore,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,15-01-2020,15-02-2020,Monster
15,Technical Support Executive,Salesforce,Human Resources Services,New York,Freelance,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,16-01-2020,16-02-2020,LinkedIn
16,Digital Marketing Analyst,Reliance Jio,BPO / KPO,Goa,Freelance,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,17-01-2020,17-02-2020,CareerBuilder
17,Customer Support Executive,Microsoft,Logistics & Supply Chain,Paris,Contract,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,18-01-2020,18-02-2020,Upwork
18,Frontend Developer,Microsoft,Logistics & Supply Chain,Indore,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,19-01-2020,19-02-2020,CareerBuilder
19,Information Security Engineer,Persistent Systems,Logistics & Supply Chain,Indore,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,20-01-2020,20-02-2020,TimesJobs
20,AI Engineer,EY,Digital Marketing,Bengaluru,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,21-01-2020,21-02-2020,Stack Overflow Jobs
21,Financial Analyst,Zensar Technologies,Telecom,Chandigarh,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,22-01-2020,22-02-2020,Monster
22,Site Reliability Engineer,Capgemini,Cybersecurity,Patna,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,23-01-2020,23-02-2020,Company Website
23,Product Manager,KPMG,Financial Services,Patna,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,24-01-2020,24-02-2020,SimplyHired
24,Customer Service Manager,Zomato,BPO / KPO,Gurgaon,Internship,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,25-01-2020,25-02-2020,Referral
25,Business Analyst,Hexaware Technologies,Retail,Indore,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,26-01-2020,26-02-2020,Glassdoor
26,Business Analyst,PhonePe,Human Resources Services,Dubai,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,27-01-2020,27-02-2020,CareerBuilder
27,AI Engineer,Reliance Jio,Product & SaaS,Ahmedabad,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,28-01-2020,28-02-2020,Referral
28,Full Stack Developer,HCL Technologies,Data & Analytics,Bengaluru,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,29-01-2020,29-02-2020,Glassdoor
29,Growth Analyst,Adobe,Financial Services,Sydney,Part-time,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,30-01-2020,01-03-2020,SimplyHired
30,Social Media Executive,Zomato,Logistics & Supply Chain,Pune,Part-time,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,31-01-2020,02-03-2020,Stack Overflow Jobs
31,Power BI Developer,Google,Data & Analytics,Noida,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,01-02-2020,03-03-2020,Glassdoor
32,Customer Service Manager,Zoho,Information Technology,New York,Internship,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,02-02-2020,04-03-2020,LinkedIn
33,Content Analyst,Sutherland Global,Data & Analytics,Sydney,Full-time,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,03-02-2020,05-03-2020,Freelancer
34,Power BI Developer,Teleperformance,Product & SaaS,Mumbai,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,04-02-2020,06-03-2020,Freelancer
35,Telemarketing Executive,Accenture,Cloud Computing,Jaipur,Freelance,12,30000,120000,"Negotiation, CRM, Communication, Lead Generation, Presentation",Bachelor's in Business / Marketing / Management,05-02-2020,07-03-2020,Indeed
36,BPO Team Lead,Tech Mahindra,Digital Marketing,Patna,Part-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,06-02-2020,08-03-2020,TimesJobs
37,Cloud Data Engineer,PhonePe,Data & Analytics,Pune,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,07-02-2020,09-03-2020,AngelList
38,Recruitment Executive,Cognizant,Cloud Computing,Jaipur,Internship,10,30000,70000,"Recruitment, HR Policies, Payroll, Communication, Employee Engagement",Bachelor's in HR / Management / Psychology,08-02-2020,10-03-2020,SimplyHired
39,Marketing Executive,Birlasoft,Cloud Computing,Patna,Contract,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,09-02-2020,11-03-2020,CareerBuilder
40,BPO Team Lead,Sutherland Global,Human Resources Services,San Francisco,Full-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,10-02-2020,12-03-2020,Indeed
41,Customer Support Executive,Tech Mahindra,Product & SaaS,Kochi,Full-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,11-02-2020,13-03-2020,CareerBuilder
42,Growth Analyst,IBM India,Logistics & Supply Chain,Lucknow,Freelance,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,12-02-2020,14-03-2020,Stack Overflow Jobs
43,Power BI Developer,Accenture,Software Development,Gurgaon,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,13-02-2020,15-03-2020,Indeed
44,Cybersecurity Analyst,Adobe,Digital Marketing,Gurgaon,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,14-02-2020,16-03-2020,Referral
45,Social Media Executive,Reliance Jio,Cloud Computing,Berlin,Part-time,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,15-02-2020,17-03-2020,Glassdoor
46,AI Engineer,Teleperformance,Cybersecurity,Gurgaon,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,16-02-2020,18-03-2020,Monster
47,Data Scientist,Zomato,IT Services,Chennai,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,17-02-2020,19-03-2020,AngelList
48,Data Scientist,Cyient,EdTech,Raipur,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,18-02-2020,20-03-2020,SimplyHired
49,Cloud Data Engineer,Byjus,Healthcare Technology,Hyderabad,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,19-02-2020,21-03-2020,Glassdoor
50,Platform Engineer,Paytm,Human Resources Services,Chandigarh,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,20-02-2020,22-03-2020,CareerBuilder
51,Machine Learning Engineer,Persistent Systems,Banking & Insurance,London,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,21-02-2020,23-03-2020,Naukri.com
52,AI Engineer,PhonePe,IT Services,Toronto,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,22-02-2020,24-03-2020,Stack Overflow Jobs
53,BPO Team Lead,Amazon,Cybersecurity,Dubai,Part-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,23-02-2020,25-03-2020,Freelancer
54,Call Center Agent,Google,Artificial Intelligence,Nagpur,Contract,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,24-02-2020,26-03-2020,Referral
55,Data Analyst,Deloitte,BPO / KPO,Pune,Internship,2,40000,70000,"Communication, Customer Service, CRM, Problem Solving",Bachelor's in Computer Science / IT / Statistics,25-02-2020,27-03-2020,Glassdoor
56,Site Reliability Engineer,Byjus,Cloud Computing,Delhi,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,26-02-2020,28-03-2020,Indeed
57,Project Coordinator,Salesforce,Business Consulting,San Francisco,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,27-02-2020,29-03-2020,AngelList
58,IT Support Specialist,Capgemini,Business Consulting,New York,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,28-02-2020,30-03-2020,TimesJobs
59,Financial Analyst,Google,Data & Analytics,Jaipur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,29-02-2020,31-03-2020,Company Website
60,AI Engineer,Infosys,Financial Services,Sydney,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,01-03-2020,01-04-2020,LinkedIn
61,Operations Executive,Uber,Cybersecurity,Bhopal,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,02-03-2020,02-04-2020,GitHub Jobs
62,BPO Team Lead,Persistent Systems,E-commerce,Toronto,Freelance,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,03-03-2020,03-04-2020,Upwork
63,Helpdesk Analyst,PwC,Artificial Intelligence,Gurgaon,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,04-03-2020,04-04-2020,Company Website
64,QA Analyst,Zomato,Human Resources Services,Noida,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,05-03-2020,05-04-2020,Upwork
65,Social Media Executive,Sutherland Global,EdTech,Goa,Freelance,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,06-03-2020,06-04-2020,Glassdoor
66,Platform Engineer,EY,Digital Marketing,Singapore,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,07-03-2020,07-04-2020,Referral
67,Social Media Executive,Amazon,Cybersecurity,San Francisco,Contract,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,08-03-2020,08-04-2020,Stack Overflow Jobs
68,Growth Analyst,Salesforce,Healthcare Technology,Toronto,Part-time,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,09-03-2020,09-04-2020,Referral
69,Frontend Developer,Google,Human Resources Services,Kochi,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,10-03-2020,10-04-2020,Referral
70,Technical Support Executive,Infosys,Telecom,Paris,Part-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,11-03-2020,11-04-2020,Monster
71,Technical Support Executive,Flipkart,EdTech,Raipur,Part-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,12-03-2020,12-04-2020,Referral
72,Operations Executive,Cyient,Human Resources Services,Mumbai,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,13-03-2020,13-04-2020,SimplyHired
73,Call Center Agent,Teleperformance,Information Technology,Paris,Full-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,14-03-2020,14-04-2020,Naukri.com
74,Cloud Solutions Architect,Uber,Healthcare Technology,Jaipur,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,15-03-2020,15-04-2020,Freelancer
75,Data Analyst,WNS Global Services,EdTech,Berlin,Part-time,2,40000,70000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,16-03-2020,16-04-2020,CareerBuilder
76,Risk & Compliance Analyst,WNS Global Services,Cloud Computing,Patna,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,17-03-2020,17-04-2020,Monster
77,Operations Executive,Infosys,IT Services,Chennai,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,18-03-2020,18-04-2020,TimesJobs
78,Prompt Engineer,KPMG,Human Resources Services,Indore,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,19-03-2020,19-04-2020,TimesJobs
79,Data Analyst,Capgemini,Financial Services,Sydney,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,20-03-2020,20-04-2020,TimesJobs
80,AI Engineer,Reliance Jio,Business Consulting,Pune,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,21-03-2020,21-04-2020,Upwork
81,Machine Learning Engineer,Salesforce,BPO / KPO,Kochi,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,22-03-2020,22-04-2020,Stack Overflow Jobs
82,Backend Developer,Salesforce,Data & Analytics,Raipur,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,23-03-2020,23-04-2020,LinkedIn
83,Business Intelligence Analyst,Paytm,Artificial Intelligence,Kolkata,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,24-03-2020,24-04-2020,TimesJobs
84,Operations Executive,Meta,Artificial Intelligence,Ranchi,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,25-03-2020,25-04-2020,Referral
85,Cloud Solutions Architect,Uber,E-commerce,Sydney,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,26-03-2020,26-04-2020,SimplyHired
86,Financial Analyst,PhonePe,Retail,Gurgaon,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,27-03-2020,27-04-2020,Indeed
87,Analytics Engineer,LTIMindtree,E-commerce,Bhopal,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,28-03-2020,28-04-2020,SimplyHired
88,Prompt Engineer,Infosys,Artificial Intelligence,Kolkata,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,29-03-2020,29-04-2020,AngelList
89,Platform Engineer,Genpact,Financial Services,Nagpur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,30-03-2020,30-04-2020,LinkedIn
90,BPO Team Lead,Teleperformance,Financial Services,Pune,Freelance,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,31-03-2020,01-05-2020,TimesJobs
91,Software Engineer,Freshworks,Information Technology,Goa,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,01-04-2020,02-05-2020,GitHub Jobs
92,BPO Team Lead,Persistent Systems,Data & Analytics,Dubai,Full-time,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,02-04-2020,03-05-2020,TimesJobs
93,Frontend Developer,PhonePe,Digital Marketing,Kolkata,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,03-04-2020,04-05-2020,AngelList
94,Recruitment Executive,HGS,Financial Services,Delhi,Full-time,10,30000,70000,"Recruitment, HR Policies, Payroll, Communication, Employee Engagement",Bachelor's in HR / Management / Psychology,04-04-2020,05-05-2020,Upwork
95,Backend Developer,Meta,BPO / KPO,Nagpur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,05-04-2020,06-05-2020,AngelList
96,Product Analyst,Meta,Data & Analytics,Raipur,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,06-04-2020,07-05-2020,Stack Overflow Jobs
97,Frontend Developer,Tata Consultancy Services,Software Development,Lucknow,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,07-04-2020,08-05-2020,Monster
98,Business Analyst,PwC,Digital Marketing,Toronto,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,08-04-2020,09-05-2020,Naukri.com
99,Test Engineer,EY,Healthcare Technology,Mumbai,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,09-04-2020,10-05-2020,Referral
100,Helpdesk Analyst,Capgemini,Retail,Nagpur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,10-04-2020,11-05-2020,TimesJobs
101,Cloud Data Engineer,Accenture,Artificial Intelligence,Sydney,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,11-04-2020,12-05-2020,AngelList
102,Product Analyst,Teleperformance,Telecom,Raipur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,12-04-2020,13-05-2020,LinkedIn
103,SEO Specialist,WNS Global Services,Data & Analytics,Kolkata,Internship,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,13-04-2020,14-05-2020,Naukri.com
104,BPO Team Lead,Amazon,Data & Analytics,Lucknow,Freelance,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,14-04-2020,15-05-2020,GitHub Jobs
105,Telemarketing Executive,Reliance Jio,E-commerce,Delhi,Internship,12,30000,120000,"Negotiation, CRM, Communication, Lead Generation, Presentation",Bachelor's in Business / Marketing / Management,15-04-2020,16-05-2020,Upwork
106,Site Reliability Engineer,Uber,Human Resources Services,Sydney,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,16-04-2020,17-05-2020,Freelancer
107,Project Coordinator,Hexaware Technologies,Healthcare Technology,Noida,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,17-04-2020,18-05-2020,AngelList
108,Customer Service Manager,HGS,BPO / KPO,Bhopal,Internship,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,18-04-2020,19-05-2020,Monster
109,Cloud Solutions Architect,Paytm,Information Technology,Ranchi,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,19-04-2020,20-05-2020,GitHub Jobs
110,Test Engineer,Birlasoft,Financial Services,Sydney,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,20-04-2020,21-05-2020,Stack Overflow Jobs
111,DevOps Engineer,Sutherland Global,BPO / KPO,Pune,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,21-04-2020,22-05-2020,CareerBuilder
112,AI Engineer,Tech Mahindra,EdTech,Berlin,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,22-04-2020,23-05-2020,Naukri.com
113,Operations Executive,Uber,Cybersecurity,San Francisco,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,23-04-2020,24-05-2020,AngelList
114,Power BI Developer,Cognizant,Banking & Insurance,Pune,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,24-04-2020,25-05-2020,LinkedIn
115,SEO Specialist,Uber,Human Resources Services,New York,Part-time,11,35000,90000,"SEO, SEM, Google Analytics, Social Media, Content Creation, Digital Marketing",Bachelor's in Marketing / Business / Communication,25-04-2020,26-05-2020,Glassdoor
116,Cloud Solutions Architect,Freshworks,Artificial Intelligence,Hyderabad,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,26-04-2020,27-05-2020,Referral
117,Backend Developer,Zomato,E-commerce,Indore,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,27-04-2020,28-05-2020,Monster
118,Helpdesk Analyst,Mphasis,Product & SaaS,Delhi,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,28-04-2020,29-05-2020,TimesJobs
119,Software Engineer,Sutherland Global,BPO / KPO,Chennai,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,29-04-2020,30-05-2020,Stack Overflow Jobs
120,IT Support Specialist,EY,EdTech,Jaipur,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,30-04-2020,31-05-2020,Stack Overflow Jobs
121,Power BI Developer,PhonePe,Software Development,Kochi,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,01-05-2020,01-06-2020,SimplyHired
122,Prompt Engineer,Microsoft,Logistics & Supply Chain,London,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,02-05-2020,02-06-2020,Naukri.com
123,Technical Support Executive,Google,Telecom,Hyderabad,Internship,1,15000,30000,"Communication, Customer Service, CRM, Problem Solving",High School / Diploma,03-05-2020,03-06-2020,TimesJobs
124,Risk & Compliance Analyst,Microsoft,Telecom,Toronto,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,04-05-2020,04-06-2020,Referral
125,Product Manager,Oracle,IT Services,Toronto,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,05-05-2020,05-06-2020,Upwork
126,Software Engineer,Meta,E-commerce,London,Freelance,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,06-05-2020,06-06-2020,Stack Overflow Jobs
